alg,thread_num,iter_type,prefill,query_num,insert,query,delete
wormhole,1,seq,14000,4000,0.000389614,0.00017969,0.000388923
PGM,1,seq,15000,4000,0.786998,0.00056674,0.78924
wormhole,1,seq,15000,4000,0.000381466,0.000179579,0.000401687
PGM,1,seq,16000,4000,0.796733,0.00056043,0.795914
wormhole,1,seq,16000,4000,0.000380364,0.000149157,0.000386668
PGM,1,seq,17000,4000,0.836632,0.00065494,0.93669
wormhole,1,seq,17000,4000,0.000377285,0.000173501,0.000385524
PGM,1,seq,18000,4000,0.813146,0.000589744,0.817943
wormhole,1,seq,18000,4000,0.000375107,0.00017226,0.00039183
PGM,1,seq,19000,4000,0.819507,0.000632805,0.927706
wormhole,1,seq,19000,4000,0.000378932,0.000170281,0.000393356
PGM,1,rand,1000,4000,0.0994325,0.00074418,0.258393
wormhole,1,rand,1000,4000,0.000388747,0.000788163,0.000157612
PGM,1,rand,2000,4000,0.103537,0.00084334,0.239658
wormhole,1,rand,2000,4000,0.000448233,0.000775952,0.000169158
PGM,1,rand,3000,4000,0.10007,0.000832477,0.242746
wormhole,1,rand,3000,4000,0.000477149,0.000768582,0.000170882
PGM,1,rand,4000,4000,0.0980625,0.000729811,0.227302
wormhole,1,rand,4000,4000,0.000483026,0.000768589,0.000174947
PGM,1,rand,5000,4000,0.0825608,0.000819726,0.209713
wormhole,1,rand,5000,4000,0.00044264,0.000875021,0.000176436
PGM,1,rand,6000,4000,0.0898903,0.000684293,0.218976
wormhole,1,rand,6000,4000,0.000414822,0.000715737,0.0001382
PGM,1,rand,7000,4000,0.0897709,0.000616894,0.225629
wormhole,1,rand,7000,4000,0.00036801,0.000709698,0.000174821
PGM,1,rand,8000,4000,0.093041,0.000706113,0.254895
wormhole,1,rand,8000,4000,0.000399719,0.000720912,0.000173095
PGM,1,rand,9000,4000,0.0968557,0.000647002,0.260919
wormhole,1,rand,9000,4000,0.000399464,0.000746691,0.000170116
PGM,1,rand,10000,4000,0.0800291,0.000693519,0.201367
wormhole,1,rand,10000,4000,0.000322178,0.000754146,0.000146798
PGM,1,rand,11000,4000,0.0909159,0.000741413,0.248019
wormhole,1,rand,11000,4000,0.000295713,0.000735673,0.000172691
PGM,1,rand,12000,4000,0.0896765,0.000717096,0.247624
wormhole,1,rand,12000,4000,0.000351822,0.000729444,0.000181948
PGM,1,rand,13000,4000,0.0978416,0.000802881,0.258712
wormhole,1,rand,13000,4000,0.000382122,0.000725171,0.000148242
PGM,1,rand,14000,4000,0.0938892,0.000653026,0.259565
